created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-01-26 23:57:01 UTC,1,1,1,,70,0,0,0,0
2021-01-27 00:57:01 UTC,2,1,2,,70,0,0,0,0
2021-01-27 01:57:01 UTC,3,0,2,,70,0,0,0,0
2021-01-27 02:57:01 UTC,4,0,2,,70,0,0,0,0
2021-01-27 03:57:01 UTC,5,1,3,,70,0,0,0,0
2021-01-27 04:57:01 UTC,6,1,4,,70,0,0,0,0
2021-01-27 05:57:01 UTC,7,6,10,,70,0,0,0,0
2021-01-27 06:57:01 UTC,8,15,25,,70,0,0,0,0
2021-01-27 07:57:01 UTC,9,38,63,,70,0,0,0,0
2021-01-27 08:57:01 UTC,10,53,121,,70,0,0,0,0
2021-01-27 09:57:01 UTC,11,26,147,,70,0,0,0,0
2021-01-27 10:57:01 UTC,12,38,185,,70,0,0,0,0
2021-01-27 11:57:01 UTC,13,40,225,,70,0,0,0,0
2021-01-27 12:57:01 UTC,14,30,259,,70,0,0,0,0
2021-01-27 13:57:01 UTC,15,52,311,,70,0,0,0,0
2021-01-27 14:57:01 UTC,16,48,359,,70,0,0,0,0
2021-01-27 15:57:01 UTC,17,42,401,,70,0,0,0,0
2021-01-27 16:57:01 UTC,18,41,443,,70,0,0,0,0
2021-01-27 17:57:01 UTC,19,42,485,,70,0,0,0,0
2021-01-27 18:57:01 UTC,20,23,508,,70,0,0,0,0
2021-01-27 19:57:01 UTC,21,12,520,,70,0,0,0,0
2021-01-27 20:57:01 UTC,22,8,528,,70,0,0,0,0
2021-01-27 21:57:01 UTC,23,2,530,,70,0,0,0,0
2021-01-27 22:57:01 UTC,24,,,530,,,,,
2021-01-27 23:57:01 UTC,25,0,0,,530,70,0,0,0
2021-01-28 00:57:01 UTC,26,0,0,,530,70,0,0,0
2021-01-28 01:57:01 UTC,27,1,1,,530,70,0,0,0
2021-01-28 02:57:01 UTC,28,1,2,,530,70,0,0,0
2021-01-28 03:57:01 UTC,29,1,3,,530,70,0,0,0
2021-01-28 04:57:01 UTC,30,0,3,,530,70,0,0,0
2021-01-28 05:57:01 UTC,31,6,9,,530,70,0,0,0
2021-01-28 06:57:01 UTC,32,19,28,,530,70,0,0,0
2021-01-28 07:57:01 UTC,33,35,63,,530,70,0,0,0
2021-01-28 08:57:01 UTC,34,44,118,,530,70,0,0,0
2021-01-28 09:57:01 UTC,35,43,161,,530,70,0,0,0
2021-01-28 10:57:01 UTC,36,57,218,,530,70,0,0,0
2021-01-28 11:57:01 UTC,37,41,259,,530,70,0,0,0
2021-01-28 12:57:01 UTC,38,43,303,,530,70,0,0,0
2021-01-28 13:57:01 UTC,39,38,341,,530,70,0,0,0
2021-01-28 14:57:01 UTC,40,26,367,,530,70,0,0,0
2021-01-28 15:57:01 UTC,41,29,396,,530,70,0,0,0
2021-01-28 16:57:01 UTC,42,29,428,,530,70,0,0,0
2021-01-28 17:57:01 UTC,43,35,463,,530,70,0,0,0
2021-01-28 18:57:01 UTC,44,25,488,,530,70,0,0,0
2021-01-28 19:57:01 UTC,45,21,509,,530,70,0,0,0
2021-01-28 20:57:01 UTC,46,12,522,,530,70,0,0,0
2021-01-28 21:57:01 UTC,47,4,526,,530,70,0,0,0
2021-01-28 22:57:01 UTC,48,,,526,,,,,
2021-01-28 23:57:01 UTC,49,0,0,,526,530,70,0,0
2021-01-29 00:57:01 UTC,50,1,1,,526,530,70,0,0
2021-01-29 01:57:01 UTC,51,0,1,,526,530,70,0,0
2021-01-29 02:57:01 UTC,52,0,1,,526,530,70,0,0
2021-01-29 03:57:01 UTC,53,0,1,,526,530,70,0,0
2021-01-29 04:57:01 UTC,54,1,2,,526,530,70,0,0
2021-01-29 05:57:01 UTC,55,4,6,,526,530,70,0,0
2021-01-29 06:57:01 UTC,56,25,31,,526,530,70,0,0
2021-01-29 07:57:01 UTC,57,36,67,,526,530,70,0,0
2021-01-29 08:57:01 UTC,58,48,121,,526,530,70,0,0
2021-01-29 09:57:01 UTC,59,33,154,,526,530,70,0,0
2021-01-29 10:57:01 UTC,60,37,191,,526,530,70,0,0
2021-01-29 11:57:01 UTC,61,21,212,,526,530,70,0,0
2021-01-29 12:57:01 UTC,62,29,241,,526,530,70,0,0
2021-01-29 13:57:01 UTC,63,41,282,,526,530,70,0,0
2021-01-29 14:57:01 UTC,64,18,300,,526,530,70,0,0
2021-01-29 15:57:01 UTC,65,33,333,,526,530,70,0,0
2021-01-29 16:57:01 UTC,66,49,383,,526,530,70,0,0
2021-01-29 17:57:01 UTC,67,33,416,,526,530,70,0,0
2021-01-29 18:57:01 UTC,68,14,430,,526,530,70,0,0
2021-01-29 19:57:01 UTC,69,13,443,,526,530,70,0,0
2021-01-29 20:57:01 UTC,70,12,455,,526,530,70,0,0
2021-01-29 21:57:01 UTC,71,3,458,,526,530,70,0,0
2021-01-29 22:57:01 UTC,72,,,458,,,,,
2021-01-29 23:57:01 UTC,73,0,0,,458,526,530,70,0
